ID;Name_lang;Pos;MapOffset;FlightMapOffset;ContinentID;ConditionID;CharacterBitNumber;Flags;UiTextureKitID;MinimapAtlasMemberID;Facing;SpecialIconConditionID;VisibilityConditionID;MountCreatureID
1;Northshire Abbey;-8888.98046875,-0.5400000214576721,94.38999938964844;0,0;0,0;0;0;0;1024;0;4689;0;0;0;308,0
2;Stormwind, Elwynn;-8841.0595703125,489.656005859375,109.60700225830078;0.009980039671063423,0.010174400173127651;0,0;0;0;2;1;0;4689;0;0;0;0,541
3;Programmer Isle;16391.810546875,16341.2099609375,69.44000244140625;0,0;0,0;0;0;0;1024;0;4689;0;0;0;308,0
4;Sentinel Hill, Westfall;-10551.900390625,1034.3900146484375,56.95429992675781;0,0;0,0;0;0;4;1;0;4689;0;0;0;0,541
5;Lakeshire, Redridge;-9429.099609375,-2231.39990234375,68.6500015258789;0,0;0,0;0;20068;5;1;0;4689;0;0;0;0,541
6;Ironforge, Dun Morogh;-4821.77978515625,-1155.43994140625,502.2099914550781;0,0;0,0;0;0;6;1;0;4689;0;0;0;0,541
7;Menethil Harbor, Wetlands;-3787.81005859375,-777.6959838867188,1.5582000017166138;-0.0020000000949949026,0.0020000000949949026;0,0;0;0;7;1;0;4689;0;0;0;0,541
8;Thelsamar, Loch Modan;-5421.91015625,-2930.010009765625,347.25;0,0;0,0;0;0;8;1;0;4689;0;0;0;0,541
9;Booty Bay, Stranglethorn;-14271.7998046875,299.8699951171875,31.09000015258789;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,541
10;The Sepulcher, Silverpine Forest;478.8599853515625,1536.5899658203125,131.32000732421875;0,0;0,0;0;0;10;2;0;4689;0;0;0;3574,0
11;Undercity, Tirisfal;1568.6199951171875,267.9700012207031,-43.099998474121094;0,0;0,0;0;96403;11;10;0;4689;0;0;0;3574,0
12;Darkshire, Duskwood;-10515.5,-1261.6500244140625,41.34000015258789;0,0;0,0;0;0;12;1;0;4689;0;0;0;0,541
13;Tarren Mill, Hillsbrad;-17.706600189208984,-874.2030029296875,59.00559997558594;0,0.003000000026077032;0,0;0;0;13;2;0;4689;0;0;0;3574,0
